ad_typology_Value,ad_price,ad_area,ad_builttype_Value,ad_roomnumber,ad_bathnumber,ad_haslift,ad_hasswimmingpool,ad_hasheating,ad_hasterrace,ad_hasparkingspace,ad_hasairconditioning,ad_hasgarden,ad_district_Eixample,ad_district_Gràcia,ad_district_Horta Guinardó,ad_district_Les Corts,ad_district_Nou Barris,ad_district_Sant Andreu,ad_district_Sant Martí,ad_district_Sants-Montjuïc,ad_district_Sarrià-Sant Gervasi
0,399000,96,1,3,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,200000,41,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
0,105000,18,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,399000,97,1,3,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
0,360000,105,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0,495000,130,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,310000,390,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,440000,82,1,2,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
0,315000,80,1,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,59000,55,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,72432,70,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,142500,73,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,79000,47,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,207900,96,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,215000,60,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,475000,78,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,189000,70,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,195000,84,1,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
0,395000,86,1,3,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0,289000,70,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
